date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:18:35	8252/8252	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Dec%202023%2002:49:03%20GMT	https://academy.manag.project.viewcert.org/auth/State.php	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/State.html	(from )
08:18:36	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Dec%202023%2002:49:04%20GMT	https://academy.manag.project.viewcert.org/robots.txt		(from )
08:18:36	18369/18369	---M-Z	200	added ('OK')	text/css	etag:%2211410a9-47c1-6097a9c468f70-gzip%22	http://cdn.datatables.net/1.12.1/css/jquery.dataTables.min.css	C:/My%20Web%20Sites/jj/cdn.datatables.net/1.12.1/css/jquery.dataTables.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:37	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/jj/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:38	68441/68441	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210b59-IskNIBPdmWA6PKVJWcUA7X1/gGQ%22	https://cdn.jsdelivr.net/npm/sweetalert2@11.4.14/dist/sweetalert2.all.min.js	C:/My%20Web%20Sites/jj/cdn.jsdelivr.net/npm/sweetalert2@11.4.14/dist/sweetalert2.all.min.js	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:38	62/62	---MCZ	302	error ('Found')	text/plain	date:Thu,%2014%20Dec%202023%2002:49:06%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/My%20Web%20Sites/jj/unpkg.com/sweetalert/dist/sweetalert.min.4.delayed	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:38	40808/40808	---MCZ	200	added ('OK')	application/javascript	etag:%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	C:/My%20Web%20Sites/jj/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:39	12334/12334	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-302e%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.0/jquery.fancybox.min.css	C:/My%20Web%20Sites/jj/cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.0/jquery.fancybox.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:40	56753/56753	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e58-ddb1%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.0/jquery.fancybox.min.js	C:/My%20Web%20Sites/jj/cdnjs.cloudflare.com/ajax/libs/fancybox/3.2.0/jquery.fancybox.min.js	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:40	84245/84245	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/My%20Web%20Sites/jj/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:40	101709/101709	---M-Z	200	added ('OK')	text/css	etag:%2262deef96-4fa2%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.2/css/all.min.css	C:/My%20Web%20Sites/jj/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.2/css/all.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:41	59344/59344	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:41	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%2264382bc3-c854%22	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/My%20Web%20Sites/jj/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:42	11967/11967	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:43	12505/12505	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/icheck-bootstrap/icheck-bootstrap.min.css	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/icheck-bootstrap/icheck-bootstrap.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:43	613/613	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2016:01:04%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/jqvmap/jqvmap.min.css	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/jqvmap/jqvmap.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:44	20020/20020	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:45	8069/8069	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/daterangepicker/daterangepicker.css	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/daterangepicker/daterangepicker.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:45	19403/19403	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/summernote/summernote-bs4.min.css	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/summernote/summernote-bs4.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:46	1382975/1382975	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Sep%202023%2016:01:32%20GMT	https://academy.manag.project.viewcert.org/auth/dist/css/adminlte.min.css	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/dist/css/adminlte.min.css	(from https://academy.manag.project.viewcert.org/auth/State.php)
08:18:46	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.eot	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:47	76764/76764	---M--	200	added ('OK')	font/woff2	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:47	90060/90060	---M--	200	added ('OK')	font/woff	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.woff	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:47	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:48	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.eot	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:48	134040/134040	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:48	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:48	13276/13276	---M--	200	added ('OK')	font/woff2	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:48	16276/16276	---M--	200	added ('OK')	font/woff	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.woff	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:49	33736/33736	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:49	144714/144714	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-regular-400.svg	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:49	203030/203030	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-solid-900.eot	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:50	203030/203030	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:50	747545/747545	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-brands-400.svg	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
08:18:50	78196/78196	---M--	200	added ('OK')	font/woff2	date:Tue,%2026%20Sep%202023%2016:01:05%20GMT	https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/jj/academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://academy.manag.project.viewcert.org/auth/plugins/fontawesome-free/css/all.min.css)
